"Total","Personas","Edad","NumDePersonas"
"00 años"," 1 812 977",0,1812977
"01 años"," 1 909 958",1,1909958
"02 años"," 2 041 119",2,2041119
"03 años"," 2 108 406",3,2108406
"04 años"," 2 174 905",4,2174905
"05 años"," 2 178 901",5,2178901
"06 años"," 2 095 349",6,2095349
"07 años"," 2 146 294",7,2146294
"08 años"," 2 234 495",8,2234495
"09 años"," 2 109 340",9,2109340
"10 años"," 2 299 267",10,2299267
"11 años"," 2 101 472",11,2101472
"12 años"," 2 249 567",12,2249567
"13 años"," 2 140 641",13,2140641
"14 años"," 2 152 593",14,2152593
"15 años"," 2 193 794",15,2193794
"16 años"," 2 086 484",16,2086484
"17 años"," 2 212 396",17,2212396
"18 años"," 2 307 675",18,2307675
"19 años"," 2 006 341",19,2006341
"20 años"," 2 307 835",20,2307835
"21 años"," 1 917 550",21,1917550
"22 años"," 2 128 911",22,2128911
"23 años"," 2 034 083",23,2034083
"24 años"," 2 033 716",24,2033716
"25 años"," 2 179 016",25,2179016
"26 años"," 1 976 471",26,1976471
"27 años"," 1 954 646",27,1954646
"28 años"," 2 044 540",28,2044540
"29 años"," 1 838 328",29,1838328
"30 años"," 2 366 318",30,2366318
"31 años"," 1 541 404",31,1541404
"32 años"," 1 997 789",32,1997789
"33 años"," 1 777 080",33,1777080
"34 años"," 1 738 236",34,1738236
"35 años"," 2 003 176",35,2003176
"36 años"," 1 828 356",36,1828356
"37 años"," 1 600 851",37,1600851
"38 años"," 1 942 049",38,1942049
"39 años"," 1 645 844",39,1645844
"40 años"," 2 206 005",40,2206005
"41 años"," 1 315 240",41,1315240
"42 años"," 1 925 907",42,1925907
"43 años"," 1 618 309",43,1618309
"44 años"," 1 438 125",44,1438125
"45 años"," 1 895 945",45,1895945
"46 años"," 1 509 494",46,1509494
"47 años"," 1 507 873",47,1507873
"48 años"," 1 591 330",48,1591330
"49 años"," 1 437 771",49,1437771
"50 años"," 1 865 176",50,1865176
"51 años"," 1 100 487",51,1100487
"52 años"," 1 490 960",52,1490960
"53 años"," 1 281 760",53,1281760
"54 años"," 1 299 149",54,1299149
"55 años"," 1 315 508",55,1315508
"56 años"," 1 235 819",56,1235819
"57 años"," 1 013 170",57,1013170
"58 años"," 1 113 318",58,1113318
"59 años"," 1 018 143",59,1018143
"60 años"," 1 333 530",60,1333530
"61 años","  746 362",61,746362
"62 años","  972 778",62,972778
"63 años","  919 820",63,919820
"64 años","  848 572",64,848572
"65 años","  983 101",65,983101
"66 años","  679 790",66,679790
"67 años","  666 851",67,666851
"68 años","  753 713",68,753713
"69 años","  561 622",69,561622
"70 años","  716 246",70,716246
"71 años","  413 507",71,413507
"72 años","  580 011",72,580011
"73 años","  480 424",73,480424
"74 años","  457 152",74,457152
"75 años","  470 115",75,470115
"76 años","  383 667",76,383667
"77 años","  317 417",77,317417
"78 años","  362 898",78,362898
"79 años","  280 485",79,280485
"80 años","  349 002",80,349002
"81 años","  181 704",81,181704
"82 años","  230 050",82,230050
"83 años","  210 369",83,210369
"84 años","  204 239",84,204239
"85 años","  189 769",85,189769
"86 años","  150 665",86,150665
"87 años","  123 753",87,123753
"88 años","  101 855",88,101855
"89 años","  93 203",89,93203
"90 años","  96 259",90,96259
"91 años","  42 285",91,42285
"92 años","  50 444",92,50444
"93 años","  41 753",93,41753
"94 años","  36 065",94,36065
"95 años","  29 917",95,29917
"96 años","  22 704",96,22704
"97 años","  16 536",97,16536
"98 años","  15 452",98,15452
"99 años","  10 596",99,10596
